campanha,data_hora,data,horario,hora_decimal,periodo_dia,ponto,temperatura,ph,od,salinidade,condutividade,transparencia,PCA1,PCA2,cluster,estado_agua
Nictemeral 1,2024-10-10 06:48:00,2024-10-10,06:48,6.8,manha,SD03,27.9,8.58,2.3,34.4,50.7,31,-0.8838258611922057,-2.5121735552068936,5,risco
Nictemeral 1,2024-10-10 06:51:00,2024-10-10,06:51,6.85,manha,SD04,28.2,8.61,2.5,34.5,50.8,30,-0.8244313334095213,-2.248715517334341,5,risco
Nictemeral 1,2024-10-10 06:54:00,2024-10-10,06:54,6.9,manha,SD05,28.2,8.6,2.4,34.4,50.6,31,-0.9774572565975359,-2.3585993661989395,5,risco
Nictemeral 1,2024-10-10 06:57:00,2024-10-10,06:57,6.95,manha,SD06,28.0,8.61,2.7,34.4,50.7,31,-0.985287773381665,-2.358795979516759,5,risco
Nictemeral 1,2024-10-10 07:00:00,2024-10-10,07:00,7.0,manha,SD07,28.0,8.59,2.5,34.3,20.6,31,-5.3590387861352875,-3.9539971396091853,5,risco
Nictemeral 1,2024-10-10 07:03:00,2024-10-10,07:03,7.05,manha,SD08,28.2,8.6,3.0,34.5,50.8,30,-0.8354814012639386,-2.128835519329156,5,risco
Nictemeral 1,2024-10-10 07:06:00,2024-10-10,07:06,7.1,manha,SD09,28.2,8.6,2.7,34.5,50.8,28,-0.5429202153843046,-2.0474665347450034,5,risco
Nictemeral 1,2024-10-10 07:44:00,2024-10-10,07:44,7.733333333333333,manha,SD01,28.0,8.61,2.6,34.4,50.7,31,-0.9937786818766702,-2.3307797017062035,5,risco
Nictemeral 1,2024-10-10 07:46:00,2024-10-10,07:46,7.766666666666667,manha,SD02,28.4,8.6,2.7,34.4,50.7,30,-0.8765369035880585,-2.077798477349459,5,risco
Nictemeral 1,2024-10-10 07:49:00,2024-10-10,07:49,7.816666666666666,manha,SD03,28.4,8.6,2.8,34.4,50.7,30,-0.8833383943854002,-2.052234088413147,5,risco
Nictemeral 1,2024-10-10 07:53:00,2024-10-10,07:53,7.883333333333333,manha,SD04,28.6,8.61,3.5,34.5,50.8,30,-0.9384492426635702,-1.798165841513208,5,risco
Nictemeral 1,2024-10-10 07:57:00,2024-10-10,07:57,7.95,manha,SD05,28.4,8.62,3.3,34.4,50.7,32,-1.2351114861384527,-2.0676620151068597,5,risco
Nictemeral 1,2024-10-10 08:00:00,2024-10-10,08:00,8.0,manha,SD06,28.4,8.61,3.3,34.5,50.8,31,-1.0486277966770177,-1.988272121588576,5,risco
Nictemeral 1,2024-10-10 08:02:00,2024-10-10,08:02,8.033333333333333,manha,SD07,28.4,8.62,3.4,34.5,50.9,30,-0.924579060003577,-1.8813309705474057,5,risco
Nictemeral 1,2024-10-10 08:05:00,2024-10-10,08:05,8.083333333333334,manha,SD08,28.6,8.63,3.5,34.5,50.8,30,-0.9861991028432379,-1.77585226815083,5,risco
Nictemeral 1,2024-10-10 08:07:00,2024-10-10,08:07,8.116666666666667,manha,SD09,28.6,8.62,3.7,34.5,50.8,31,-1.1144522949786653,-1.8063384459764409,5,risco
Nictemeral 1,2024-10-10 08:44:00,2024-10-10,08:44,8.733333333333333,manha,SD01,28.8,8.65,3.6,34.4,50.8,30,-1.078975907931875,-1.6251293973604428,5,risco
Nictemeral 1,2024-10-10 08:46:00,2024-10-10,08:46,8.766666666666667,manha,SD02,28.6,8.62,3.0,34.5,50.8,30,-0.9472792938892038,-1.8483909727474646,5,risco
Nictemeral 1,2024-10-10 08:51:00,2024-10-10,08:51,8.85,manha,SD03,29.1,8.64,4.0,34.5,50.8,30,-1.096997518732864,-1.4093155037396288,5,risco
Nictemeral 1,2024-10-10 08:54:00,2024-10-10,08:54,8.9,manha,SD04,29.2,8.65,4.4,34.5,50.8,30,-1.1525446586577408,-1.271821821402249,5,risco
Nictemeral 1,2024-10-10 08:57:00,2024-10-10,08:57,8.95,manha,SD05,29.0,8.65,4.2,34.5,50.8,33,-1.5373267100455732,-1.611417346191206,5,risco
Nictemeral 1,2024-10-10 08:59:00,2024-10-10,08:59,8.983333333333333,manha,SD06,29.3,8.66,4.3,34.5,50.0,31,-1.434563421020589,-1.3574930373898944,5,risco
Nictemeral 1,2024-10-10 09:03:00,2024-10-10,09:03,9.05,manha,SD07,29.3,8.66,4.3,34.6,51.0,30,-1.1383884287125552,-1.2262255661333186,5,risco
Nictemeral 1,2024-10-10 09:07:00,2024-10-10,09:07,9.116666666666667,manha,SD08,29.5,8.66,5.1,34.7,51.1,28,-0.9015164923380025,-0.8093320855996042,5,risco
Nictemeral 1,2024-10-10 09:09:00,2024-10-10,09:09,9.15,manha,SD09,29.5,8.66,5.0,34.6,51.0,29,-1.0616056327141217,-0.910440568046266,5,risco
Nictemeral 1,2024-10-10 09:46:00,2024-10-10,09:46,9.766666666666667,manha,SD01,29.1,8.66,4.3,34.5,50.6,30,-1.2048922368249468,-1.2841136563430646,5,risco
Nictemeral 1,2024-10-10 09:50:00,2024-10-10,09:50,9.833333333333334,manha,SD02,29.1,8.67,4.8,34.6,51.0,30,-1.1861149275543508,-1.1396919679322046,5,risco
Nictemeral 1,2024-10-10 09:52:00,2024-10-10,09:52,9.866666666666667,manha,SD03,29.9,8.68,5.8,34.5,50.9,28,-1.0916587228334311,-0.451195798920011,1,estavel
Nictemeral 1,2024-10-10 09:55:00,2024-10-10,09:55,9.916666666666666,manha,SD04,29.9,8.68,5.6,34.5,50.8,29,-1.233392594771056,-0.5704013255464301,1,estavel
Nictemeral 1,2024-10-10 09:58:00,2024-10-10,09:58,9.966666666666667,manha,SD05,30.0,8.69,5.9,34.3,50.8,28,-1.1706966823663272,-0.3890175792872394,1,estavel
Nictemeral 1,2024-10-10 10:02:00,2024-10-10,10:02,10.033333333333333,manha,SD06,30.1,8.69,5.9,34.4,50.7,28,-1.1828676481593556,-0.34651656767698996,1,estavel
Nictemeral 1,2024-10-10 10:05:00,2024-10-10,10:05,10.083333333333334,manha,SD07,30.2,8.7,6.1,34.7,51.0,30,-1.4201299439663837,-0.37402248108210506,1,estavel
Nictemeral 1,2024-10-10 10:09:00,2024-10-10,10:09,10.15,manha,SD08,30.4,8.7,6.2,34.6,51.0,29,-1.3202089405419917,-0.1976588946707336,1,estavel
Nictemeral 1,2024-10-10 10:12:00,2024-10-10,10:12,10.2,manha,SD09,30.4,8.69,6.3,34.5,50.9,28,-1.194505091091037,-0.11252098121718104,1,estavel
Nictemeral 1,2024-10-10 10:44:00,2024-10-10,10:44,10.733333333333333,manha,SD01,30.2,8.71,5.6,34.5,50.9,33,-1.878643573536703,-0.6685360419811671,1,estavel
Nictemeral 1,2024-10-10 10:46:00,2024-10-10,10:46,10.766666666666667,manha,SD02,29.9,8.71,5.7,34.5,50.9,30,-1.444236983071392,-0.546699699124041,1,estavel
Nictemeral 1,2024-10-10 10:48:00,2024-10-10,10:48,10.8,manha,SD03,30.4,8.71,6.4,34.5,50.9,29,-1.393392694429718,-0.1147405345717268,1,estavel
Nictemeral 1,2024-10-10 10:53:00,2024-10-10,10:53,10.883333333333333,manha,SD04,30.7,8.72,6.9,34.6,51.0,28,-1.3081820187886288,0.20845516342207238,1,estavel
Nictemeral 1,2024-10-10 10:56:00,2024-10-10,10:56,10.933333333333334,manha,SD05,30.7,8.71,6.7,34.6,51.0,33,-1.9648590501862484,-0.2007631795422834,1,estavel
Nictemeral 1,2024-10-10 11:01:00,2024-10-10,11:01,11.016666666666667,manha,SD06,30.9,8.72,6.7,34.5,50.9,31,-1.758157122424566,0.026531100549700187,1,estavel
Nictemeral 1,2024-10-10 11:05:00,2024-10-10,11:05,11.083333333333334,manha,SD07,31.1,8.72,6.8,34.5,50.9,28,-1.3696320600978613,0.35127836975171983,1,estavel
Nictemeral 1,2024-10-10 11:09:00,2024-10-10,11:09,11.15,manha,SD08,31.1,8.72,6.6,34.8,51.3,30,-1.5378998309226015,0.1956851004302842,1,estavel
Nictemeral 1,2024-10-10 11:13:00,2024-10-10,11:13,11.216666666666667,manha,SD09,30.9,8.73,6.8,34.6,50.9,30,-1.6390604730258536,0.1422494032757392,1,estavel
Nictemeral 2,2024-12-09 11:03:00,2024-12-09,11:03,11.05,manha,SD01,31.0,8.41,9.0,38.7,56.3,25,0.9364252938193902,1.28200614577868,2,atencao
Nictemeral 2,2024-12-09 11:06:00,2024-12-09,11:06,11.1,manha,SD02,30.9,8.43,8.0,38.9,56.5,25,1.0142173935144196,1.0476276988728461,2,atencao
Nictemeral 2,2024-12-09 11:09:00,2024-12-09,11:09,11.15,manha,SD03,30.9,8.43,8.1,39.0,56.7,24,1.1874480709621038,1.1592141210755047,2,atencao
Nictemeral 2,2024-12-09 11:13:00,2024-12-09,11:13,11.216666666666667,manha,SD04,31.0,8.42,8.0,39.0,56.6,24,1.190423724599085,1.1714575856658838,2,atencao
Nictemeral 2,2024-12-09 11:16:00,2024-12-09,11:16,11.266666666666667,manha,SD05,31.5,8.43,8.3,39.0,56.6,25,0.9666312211215923,1.374614483124858,2,atencao
Nictemeral 2,2024-12-09 11:19:00,2024-12-09,11:19,11.316666666666666,manha,SD06,31.4,8.45,8.0,39.0,56.6,25,0.9483397997673363,1.280081349743294,2,atencao
Nictemeral 2,2024-12-09 11:22:00,2024-12-09,11:22,11.366666666666667,manha,SD07,31.4,8.45,8.3,39.1,56.7,25,0.9572183618757328,1.3586456010407224,2,atencao
Nictemeral 2,2024-12-09 11:24:00,2024-12-09,11:24,11.4,manha,SD08,31.7,8.47,8.1,39.1,56.5,24,1.0057048665912756,1.5083662125200379,2,atencao
Nictemeral 2,2024-12-09 11:25:00,2024-12-09,11:25,11.416666666666666,manha,SD09,31.6,8.47,8.0,36.9,56.8,25,0.6453380873622375,1.319713349375758,2,atencao
Nictemeral 2,2024-12-09 12:02:00,2024-12-09,12:02,12.033333333333333,tarde,SD01,31.6,8.44,6.3,39.1,56.0,23,1.2397267388580329,1.139462808811328,2,atencao
Nictemeral 2,2024-12-09 12:04:00,2024-12-09,12:04,12.066666666666666,tarde,SD02,31.7,8.44,6.2,38.4,56.4,23,1.2051879442041729,1.157623278892306,2,atencao
Nictemeral 2,2024-12-09 12:07:00,2024-12-09,12:07,12.116666666666667,tarde,SD03,31.7,8.46,6.5,38.8,56.8,23,1.2523306617190837,1.27054403702721,2,atencao
Nictemeral 2,2024-12-09 12:10:00,2024-12-09,12:10,12.166666666666666,tarde,SD04,31.8,8.47,8.6,39.1,56.1,24,0.8944790506067318,1.6890822181944212,2,atencao
Nictemeral 2,2024-12-09 12:13:00,2024-12-09,12:13,12.216666666666667,tarde,SD05,31.9,8.49,8.6,39.1,56.8,23,1.08103673953079,1.8503453187334546,2,atencao
Nictemeral 2,2024-12-09 12:15:00,2024-12-09,12:15,12.25,tarde,SD06,31.7,8.47,8.5,39.2,56.8,23,1.161273777199703,1.7435585946754995,2,atencao
Nictemeral 2,2024-12-09 12:18:00,2024-12-09,12:18,12.3,tarde,SD07,31.9,8.49,8.6,38.9,56.6,24,0.88669816177199,1.7665004607249903,2,atencao
Nictemeral 2,2024-12-09 12:25:00,2024-12-09,12:25,12.416666666666666,tarde,SD08,32.2,8.49,8.9,38.8,56.5,24,0.8122955394661708,1.953210256170949,2,atencao
Nictemeral 2,2024-12-09 12:47:00,2024-12-09,12:47,12.783333333333333,tarde,SD09,32.1,8.49,8.5,39.0,56.5,23,1.0016244213980914,1.9261971923990975,2,atencao
Nictemeral 2,2024-12-09 13:00:00,2024-12-09,13:00,13.0,tarde,SD01,32.2,8.51,8.8,39.0,56.7,23,0.9562044602813948,2.0670243119885368,2,atencao
Nictemeral 2,2024-12-09 13:01:00,2024-12-09,13:01,13.016666666666667,tarde,SD02,32.4,8.52,8.4,39.1,56.8,22,1.1046480158574616,2.1446340763240794,2,atencao
Nictemeral 2,2024-12-09 13:03:00,2024-12-09,13:03,13.05,tarde,SD03,32.1,8.52,8.9,39.0,56.6,23,0.9217463167418859,2.052042394580099,2,atencao
Nictemeral 2,2024-12-09 13:05:00,2024-12-09,13:05,13.083333333333334,tarde,SD04,32.1,8.53,8.5,39.2,56.9,22,1.1301106807850105,2.0638373299599992,2,atencao
Nictemeral 2,2024-12-09 13:07:00,2024-12-09,13:07,13.116666666666667,tarde,SD05,32.1,8.52,8.7,39.4,56.8,23,1.0127410508178591,2.03459306188669,2,atencao
Nictemeral 2,2024-12-09 13:09:00,2024-12-09,13:09,13.15,tarde,SD06,32.2,8.51,8.9,39.2,56.9,23,1.0024637747396508,2.1156199099307043,2,atencao
Nictemeral 2,2024-12-09 13:13:00,2024-12-09,13:13,13.216666666666667,tarde,SD07,32.3,8.52,8.8,39.2,56.9,23,0.9760305210279316,2.1424374609455192,2,atencao
Nictemeral 2,2024-12-09 13:15:00,2024-12-09,13:15,13.25,tarde,SD08,32.2,8.54,8.8,39.1,56.8,22,1.0508586052136655,2.178181992212326,2,atencao
Nictemeral 2,2024-12-09 13:18:00,2024-12-09,13:18,13.3,tarde,SD09,32.0,8.52,8.7,39.1,56.8,22,1.1180126253121914,2.0692859900725007,2,atencao
Nictemeral 2,2024-12-09 14:05:00,2024-12-09,14:05,14.083333333333334,tarde,SD01,32.6,8.53,9.8,38.9,56.6,23,0.7697413761349648,2.5219422766594937,2,atencao
Nictemeral 2,2024-12-09 14:09:00,2024-12-09,14:09,14.15,tarde,SD02,32.3,8.56,9.8,39.2,56.9,23,0.8119041967234899,2.4448517237032714,2,atencao
Nictemeral 2,2024-12-09 14:13:00,2024-12-09,14:13,14.216666666666667,tarde,SD03,32.5,8.56,9.5,39.2,57.0,23,0.824895489433539,2.467516483199838,2,atencao
Nictemeral 2,2024-12-09 14:15:00,2024-12-09,14:15,14.25,tarde,SD04,32.4,8.56,9.4,39.2,57.0,22,0.9771351513939148,2.479758016690129,2,atencao
Nictemeral 2,2024-12-09 14:17:00,2024-12-09,14:17,14.283333333333333,tarde,SD05,32.5,8.55,9.5,39.2,57.0,23,0.8457119396649014,2.467075829868023,2,atencao
Nictemeral 2,2024-12-09 14:19:00,2024-12-09,14:19,14.316666666666666,tarde,SD06,32.3,8.55,9.6,39.2,56.9,23,0.8426534527193724,2.4061416525180794,2,atencao
Nictemeral 2,2024-12-09 14:24:00,2024-12-09,14:24,14.4,tarde,SD07,32.2,8.57,9.6,39.2,56.9,22,0.9440119395329055,2.453401788287815,2,atencao
Nictemeral 2,2024-12-09 14:26:00,2024-12-09,14:26,14.433333333333334,tarde,SD08,32.2,8.56,9.2,39.4,57.0,22,1.029200989265045,2.3729013684750453,2,atencao
Nictemeral 2,2024-12-09 14:28:00,2024-12-09,14:28,14.466666666666667,tarde,SD09,32.3,8.56,9.3,39.4,57.2,23,0.9050794893628813,2.3751860344871214,2,atencao
Nictemeral 2,2024-12-09 15:02:00,2024-12-09,15:02,15.033333333333333,tarde,SD01,32.1,8.54,9.6,39.4,57.1,22,1.0624591021990386,2.456389764061967,2,atencao
Nictemeral 2,2024-12-09 15:05:00,2024-12-09,15:05,15.083333333333334,tarde,SD02,32.1,8.58,9.3,39.3,57.0,22,0.9635860834765553,2.403163619460422,2,atencao
Nictemeral 2,2024-12-09 15:07:00,2024-12-09,15:07,15.116666666666667,tarde,SD03,32.3,8.54,9.5,39.1,56.9,22,0.9810328134876202,2.4999229412621227,2,atencao
Nictemeral 2,2024-12-09 15:08:00,2024-12-09,15:08,15.133333333333333,tarde,SD04,32.1,8.58,9.7,39.3,57.0,22,0.9391327521598112,2.4957766551912344,2,atencao
Nictemeral 2,2024-12-09 15:10:00,2024-12-09,15:10,15.166666666666666,tarde,SD05,32.2,8.59,9.6,39.3,57.1,23,0.7900685267616987,2.4529694569305667,2,atencao
Nictemeral 2,2024-12-09 15:12:00,2024-12-09,15:12,15.2,tarde,SD06,32.4,8.58,9.8,39.3,57.1,22,0.9195342910772748,2.6479931503488037,2,atencao
Nictemeral 2,2024-12-09 15:15:00,2024-12-09,15:15,15.25,tarde,SD07,32.3,8.58,9.8,39.3,57.0,23,0.7750864918934308,2.5333331816503812,2,atencao
Nictemeral 2,2024-12-09 15:17:00,2024-12-09,15:17,15.283333333333333,tarde,SD08,32.2,8.57,9.3,39.3,57.0,22,0.9729017833877595,2.4514494127431097,2,atencao
Nictemeral 2,2024-12-09 15:18:00,2024-12-09,15:18,15.3,tarde,SD09,32.2,8.55,9.1,39.4,57.2,22,1.0705622370171548,2.4117883524513437,2,atencao
Nictemeral 2,2024-12-09 16:14:00,2024-12-09,16:14,16.233333333333334,tarde,SD01,32.2,8.61,9.4,39.5,57.2,22,0.9163210258263625,2.5703908774485282,2,atencao
Nictemeral 2,2024-12-09 16:16:00,2024-12-09,16:16,16.266666666666666,tarde,SD02,32.2,8.61,9.4,39.4,57.1,22,0.8882613832693286,2.564233339620287,2,atencao
Nictemeral 2,2024-12-09 16:19:00,2024-12-09,16:19,16.316666666666666,tarde,SD03,31.9,8.61,9.7,39.4,57.2,21,1.0494381197522191,2.591757475382818,2,atencao
Nictemeral 2,2024-12-09 16:20:00,2024-12-09,16:20,16.333333333333332,tarde,SD04,32.1,8.61,9.3,39.3,57.0,21,1.0124414026726705,2.570317335282337,2,atencao
Nictemeral 2,2024-12-09 16:23:00,2024-12-09,16:23,16.383333333333333,tarde,SD05,32.1,8.61,9.6,39.4,57.2,21,1.035990741781867,2.654001459661075,2,atencao
Nictemeral 2,2024-12-09 16:25:00,2024-12-09,16:25,16.416666666666668,tarde,SD06,31.8,8.59,9.3,39.4,57.1,21,1.109601692978424,2.454061333307,2,atencao
Nictemeral 2,2024-12-09 16:27:00,2024-12-09,16:27,16.45,tarde,SD07,32.0,8.59,9.3,39.8,57.3,22,1.0334188518208383,2.486873555989803,2,atencao
Nictemeral 2,2024-12-09 16:29:00,2024-12-09,16:29,16.483333333333334,tarde,SD08,31.6,8.58,9.0,39.5,57.3,22,1.0703831955232066,2.2470841952031826,2,atencao
Nictemeral 2,2024-12-09 16:31:00,2024-12-09,16:31,16.516666666666666,tarde,SD09,31.5,8.58,9.2,39.6,57.4,21,1.2324189635495202,2.3346751399860897,2,atencao
Nictemeral 2,2024-12-09 17:12:00,2024-12-09,17:12,17.2,tarde,SD01,31.6,8.49,8.5,39.5,57.4,22,1.2996808229043482,2.143991736985217,2,atencao
Nictemeral 2,2024-12-09 17:15:00,2024-12-09,17:15,17.25,tarde,SD02,31.8,8.52,8.4,39.5,57.2,22,1.191078212393994,2.2091056817806094,2,atencao
Nictemeral 2,2024-12-09 17:18:00,2024-12-09,17:18,17.3,tarde,SD03,31.5,8.53,9.2,39.5,57.2,22,1.148211150843444,2.2753834001039763,2,atencao
Nictemeral 2,2024-12-09 17:21:00,2024-12-09,17:21,17.35,tarde,SD04,31.2,8.53,8.9,39.5,57.4,22,1.221448900707052,2.101328719671897,2,atencao
Nictemeral 2,2024-12-09 17:22:00,2024-12-09,17:22,17.366666666666667,tarde,SD05,31.2,8.53,8.9,39.3,57.4,21,1.33350215821101,2.1686399458601433,2,atencao
Nictemeral 2,2024-12-09 17:24:00,2024-12-09,17:24,17.4,tarde,SD06,31.4,8.54,8.6,39.5,57.2,22,1.1686938682258001,2.1122893532611595,2,atencao
Nictemeral 2,2024-12-09 17:26:00,2024-12-09,17:26,17.433333333333334,tarde,SD07,31.3,8.56,8.9,39.5,57.3,22,1.1300753908193801,2.1559017732149717,2,atencao
Nictemeral 2,2024-12-09 17:24:00,2024-12-09,17:24,17.4,tarde,SD08,31.2,8.55,8.7,39.4,57.2,21,1.2840142871523559,2.128479433264333,2,atencao
Nictemeral 2,2024-12-09 17:30:00,2024-12-09,17:30,17.5,tarde,SD09,31.3,8.56,8.6,39.7,57.2,22,1.1573874015636774,2.094381489512522,2,atencao
Nictemeral 2,2024-12-09 18:02:00,2024-12-09,18:02,18.033333333333335,noite,SD01,31.2,8.52,8.0,39.7,57.7,22,1.3534711671917652,1.9611132214268039,2,atencao
Nictemeral 2,2024-12-09 18:03:00,2024-12-09,18:03,18.05,noite,SD02,31.4,8.55,8.1,39.4,57.4,22,1.1807100732190774,2.054120490083595,2,atencao
Nictemeral 2,2024-12-09 18:05:00,2024-12-09,18:05,18.083333333333332,noite,SD03,31.1,8.54,8.0,39.4,57.4,21,1.373097510220972,1.9813278370323155,2,atencao
Nictemeral 2,2024-12-09 18:07:00,2024-12-09,18:07,18.116666666666667,noite,SD04,30.8,8.55,7.9,39.6,57.4,22,1.271132712724667,1.7791483887839354,2,atencao
Nictemeral 2,2024-12-09 18:09:00,2024-12-09,18:09,18.15,noite,SD05,30.8,5.57,8.2,39.1,56.5,22,7.624819303379382,0.3776791593062634,4,anomalia
Nictemeral 2,2024-12-09 18:13:00,2024-12-09,18:13,18.216666666666665,noite,SD06,30.3,8.57,8.2,39.6,57.4,21,1.3907493767664816,1.7339146249430915,2,atencao
Nictemeral 2,2024-12-09 18:16:00,2024-12-09,18:16,18.266666666666666,noite,SD07,31.0,8.57,8.0,39.3,57.0,21,1.2412073446980456,1.9434829800542708,2,atencao
Nictemeral 2,2024-12-09 18:19:00,2024-12-09,18:19,18.316666666666666,noite,SD08,30.0,8.58,8.2,39.3,54.0,22,0.7189849745371077,1.3683910371173924,2,atencao
Nictemeral 2,2024-12-09 18:21:00,2024-12-09,18:21,18.35,noite,SD09,30.8,8.58,8.3,39.3,57.3,21,1.262106685943821,1.955669339568946,2,atencao
Nictemeral 2,2024-12-09 19:07:00,2024-12-09,19:07,19.116666666666667,noite,SD01,30.9,8.55,7.4,39.6,57.3,22,1.258476824338673,1.7667311110763684,2,atencao
Nictemeral 2,2024-12-09 19:10:00,2024-12-09,19:10,19.166666666666668,noite,SD02,31.1,8.56,7.3,38.5,56.1,22,0.9066972627398813,1.736202306130672,2,atencao
Nictemeral 2,2024-12-09 19:12:00,2024-12-09,19:12,19.2,noite,SD03,30.8,8.55,7.2,38.5,57.0,21,1.2311216927489674,1.7094885108111812,2,atencao
Nictemeral 2,2024-12-09 19:14:00,2024-12-09,19:14,19.233333333333334,noite,SD04,30.6,8.57,7.4,39.1,56.9,21,1.2547625921213785,1.699443444236702,2,atencao
Nictemeral 2,2024-12-09 19:15:00,2024-12-09,19:15,19.25,noite,SD05,30.5,8.57,7.4,39.2,56.8,20,1.3995305478115412,1.7310239316590517,2,atencao
Nictemeral 2,2024-12-09 19:19:00,2024-12-09,19:19,19.316666666666666,noite,SD06,30.4,8.57,7.5,39.3,57.0,22,1.167769009730102,1.5857242402008813,2,atencao
Nictemeral 2,2024-12-09 19:21:00,2024-12-09,19:21,19.35,noite,SD07,30.4,8.57,7.3,39.4,57.1,21,1.3442865986822359,1.6240705291927917,2,atencao
Nictemeral 2,2024-12-09 19:23:00,2024-12-09,19:23,19.383333333333333,noite,SD08,30.4,8.57,7.2,39.2,57.0,22,1.1714202887215772,1.5197811553293248,2,atencao
Nictemeral 2,2024-12-09 19:24:00,2024-12-09,19:24,19.4,noite,SD09,30.4,8.56,7.4,39.4,57.2,22,1.2362822824015582,1.5774262888519293,2,atencao
Nictemeral 2,2024-12-09 02:06:00,2024-12-09,02:06,2.1,madrugada,SD01,30.5,8.57,6.4,39.4,57.3,21,1.7340823731602397,0.364198073246752,0,risco
Nictemeral 2,2024-12-09 20:08:00,2024-12-09,20:08,20.133333333333333,noite,SD02,30.6,8.57,6.6,39.4,57.1,20,1.4909048830181566,1.6708979889712752,2,atencao
Nictemeral 2,2024-12-09 20:10:00,2024-12-09,20:10,20.166666666666668,noite,SD03,30.5,8.56,6.7,39.3,57.0,21,1.3501416575705683,1.5696079577810456,2,atencao
Nictemeral 2,2024-12-09 20:12:00,2024-12-09,20:12,20.2,noite,SD04,30.3,8.57,7.1,39.3,57.0,21,1.322062264931686,1.585569406978478,2,atencao
Nictemeral 2,2024-12-09 20:13:00,2024-12-09,20:13,20.216666666666665,noite,SD05,30.4,8.57,6.9,39.3,57.0,21,1.3244703441920584,1.582095462385418,2,atencao
Nictemeral 2,2024-12-09 20:16:00,2024-12-09,20:16,20.266666666666666,noite,SD06,30.3,8.57,6.7,39.2,56.9,20,1.4548401584210486,1.5647582957810322,2,atencao
Nictemeral 2,2024-12-09 20:18:00,2024-12-09,20:18,20.3,noite,SD07,30.3,8.56,6.7,39.1,56.9,20,1.4634911350395643,1.5589935243625368,2,atencao
Nictemeral 2,2024-12-09 20:20:00,2024-12-09,20:20,20.333333333333332,noite,SD08,30.2,8.55,6.7,39.2,56.9,21,1.3688369726016578,1.4468356001557279,2,atencao
Nictemeral 2,2024-12-09 20:22:00,2024-12-09,20:22,20.366666666666667,noite,SD09,30.2,8.55,6.8,39.3,57.0,21,1.3897892763755022,1.4796291402552184,2,atencao
Nictemeral 2,2024-12-09 21:05:00,2024-12-09,21:05,21.083333333333332,noite,SD01,29.9,8.41,5.8,39.9,57.4,20,2.0444565412980764,1.2277391476486024,2,atencao
Nictemeral 2,2024-12-09 21:08:00,2024-12-09,21:08,21.133333333333333,noite,SD02,30.0,8.47,6.1,39.6,57.4,20,1.8462626285856252,1.3569761401618896,2,atencao
Nictemeral 2,2024-12-09 21:11:00,2024-12-09,21:11,21.183333333333334,noite,SD03,29.8,8.46,5.7,39.5,57.3,20,1.8815807004434626,1.1774578334010144,2,atencao
Nictemeral 2,2024-12-09 21:13:00,2024-12-09,21:13,21.216666666666665,noite,SD04,29.9,8.48,6.2,39.4,57.2,20,1.7709676729045427,1.332655793508406,2,atencao
Nictemeral 2,2024-12-09 21:15:00,2024-12-09,21:15,21.25,noite,SD05,30.0,8.46,6.1,39.3,57.0,20,1.7691469181026274,1.3297281602592301,2,atencao
Nictemeral 2,2024-12-09 21:18:00,2024-12-09,21:18,21.3,noite,SD06,29.8,8.46,6.2,39.5,57.2,21,1.697435808683845,1.2189856026348465,2,atencao
Nictemeral 2,2024-12-09 21:20:00,2024-12-09,21:20,21.333333333333332,noite,SD07,29.8,8.48,5.7,39.6,57.2,21,1.6949413321461955,1.1220161894071548,2,atencao
Nictemeral 2,2024-12-09 21:22:00,2024-12-09,21:22,21.366666666666667,noite,SD08,29.7,8.48,6.1,39.4,57.3,20,1.8068776977392846,1.244763557802645,2,atencao
Nictemeral 2,2024-12-09 21:23:00,2024-12-09,21:23,21.383333333333333,noite,SD09,29.8,8.49,6.1,39.4,57.2,21,1.6228938194856202,1.2129945489759204,2,atencao
Nictemeral 2,2024-12-09 22:14:00,2024-12-09,22:14,22.233333333333334,noite,SD01,29.9,8.48,5.1,39.4,57.3,24,1.2800513593709428,0.86689345902671,2,atencao
Nictemeral 2,2024-12-09 22:17:00,2024-12-09,22:17,22.283333333333335,noite,SD02,30.0,8.48,5.0,39.4,57.0,25,1.0940380201585356,0.7999512751041757,2,atencao
Nictemeral 2,2024-12-09 21:21:00,2024-12-09,21:21,21.35,noite,SD03,29.9,8.49,5.2,39.2,57.0,25,1.060857398775915,0.7428518101136334,2,atencao
Nictemeral 2,2024-12-09 22:25:00,2024-12-09,22:25,22.416666666666668,noite,SD04,29.7,8.51,5.7,39.2,57.0,24,1.1238050866588578,0.9249313373671676,2,atencao
Nictemeral 2,2024-12-09 22:29:00,2024-12-09,22:29,22.483333333333334,noite,SD05,29.7,8.5,5.4,39.2,56.9,24,1.1476026004088231,0.8523221641595421,2,atencao
Nictemeral 2,2024-12-09 22:31:00,2024-12-09,22:31,22.516666666666666,noite,SD06,29.8,8.5,5.2,39.3,57.0,23,1.3150662229275734,0.9308219930864564,2,atencao
Nictemeral 2,2024-12-09 22:34:00,2024-12-09,22:34,22.566666666666666,noite,SD07,29.6,8.5,5.1,39.3,57.1,23,1.3528113356773983,0.8365000773710716,2,atencao
Nictemeral 2,2024-12-09 22:38:00,2024-12-09,22:38,22.633333333333333,noite,SD08,29.6,8.49,5.1,39.2,57.0,25,1.070352950005649,0.6825558681672999,2,atencao
